ppnr,location,idnummer,rol,round,dec_time_s,quality,dec_s,delta,showbuyer,showseller,nosellerphoto,nobuyerphoto,ppother,idother,entry_no,id2,id2_other,age_s,risk_s,female_s,econ_s,attractiveness_s,honesty_s,intelligence_s,likability_s,neutral_s,happy_s,sad_s,angry_s,surprised_s,scared_s,disgusted_s,valence_s,ethnicity_s,caucasian_s,east_asian_s,south_asian_s,african_s,other_ethnicity_s,z_attractiveness_s,z_honesty_s,z_intelligence_s,z_likability_s,z_neutral_s,z_happy_s,z_sad_s,z_angry_s,z_surprised_s,z_scared_s,z_valence_s,dec_time_b,dec_b,age_b,risk_b,female_b,econ_b,attractiveness_b,honesty_b,intelligence_b,likability_b,neutral_b,happy_b,sad_b,angry_b,surprised_b,scared_b,disgusted_b,valence_b,ethnicity_b,caucasian_b,east_asian_b,south_asian_b,african_b,other_ethnicity_b,z_attractiveness_b,z_honesty_b,z_intelligence_b,z_likability_b,z_neutral_b,z_happy_b,z_sad_b,z_angry_b,z_surprised_b,z_scared_b,z_valence_b,_merge
31,NL,15,S,1,38.322769,L,high price,.75,0,0,0,0,1,1,16,10NL15,10FR1,20,7,0,1,3,4,3.0833333,4,.052548978,.57756299,.002334838,.000076623,.087765969,.001990011,.0017878941,.57522821,South Asian,0,0,1,0,0,-.49826112,-.31430224,-2.0357699,-.17092511,-1.6108316,1.0381188,-.21487069,-.35937685,.095066346,-.33908573,1.0694792,12.938138,not buy,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
19,NL,3,S,3,10.381785,L,low price,.75,0,0,0,0,1,1,69,10NL3,10FR1,23,4,0,1,2.8333333,4,4.5833335,2.6666667,.90838587,.01184729,.01086835,.0024453141,.1034265,.000316566,.00062850799,.00097894506,Caucasian,1,0,0,0,0,-.68312335,-.31430224,.51244497,-1.8647376,.83385044,-.77239382,.63558275,-.26370499,.22524633,-.5098213,-.73856944,9.688736,buy,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
29,NL,13,S,5,17.688477,H,not sell,.75,0,0,0,0,1,1,142,10NL13,10FR1,20,5,0,1,2.75,3.3333333,3.25,3.4166667,.67918998,.0052986769,.01955759,.000516158,.1091278,.0080314549,.0082327649,-.01425892,Caucasian,1,0,0,0,0,-.7755543,-1.2905778,-1.7526349,-.91196805,.17915666,-.79335195,1.5015562,-.34162396,.27263901,.61001015,-.78654653,8.8209314,no offer,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
17,NL,1,S,7,20.604536,H,not sell,.75,0,0,0,0,1,1,206,10NL1,10FR1,23,2,0,1,3,3.25,3.5833333,3,.9311921,.025562961,.01109675,.0046328609,.0077835959,.002610828,.00090501801,.01446622,Caucasian,1,0,0,0,0,-.49826112,-1.4126122,-1.1863651,-1.4412847,.898996,-.72849828,.65834522,-.17534955,-.56979638,-.4691014,-.69610417,4.7437949,no offer,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
25,NL,9,S,9,9.9892673,H,not sell,.75,0,0,0,0,1,1,265,10NL9,10FR1,21,2,1,1,5.3333335,4.6666665,4.5833335,5,.073878273,.84049398,.00025168899,.001745398,.05483783,.000235835,.00054342102,.83874857,Caucasian,1,0,0,0,0,2.0898085,.661973,.51244497,1.0994344,-1.5499049,1.8796015,-.42247823,-.29197472,-.17865261,-.5223515,1.8991843,4.1794868,no offer,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
32,NL,16,S,11,6.1675229,H,not sell,.75,0,0,0,0,1,1,326,10NL16,10FR1,20,5,1,0,3.4166667,4.4166665,3.8333333,4.3333335,.63487089,.3871448,.001094686,.0016968841,.045207571,.000238519,.00036494201,.38544789,Eastern Asian,0,1,0,0,0,-.036105793,.29586971,-.76166266,.25252825,.052560002,.42870581,-.33846477,-.2939342,-.25870526,-.54863501,.47194764,5.001452,no offer,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
27,NL,11,S,13,3.2911301,L,low price,.75,0,0,0,0,1,1,391,10NL11,10FR1,26,5,0,1,4.25,5.5,4.8333335,3.8333333,.83251691,.03372822,.003118353,.002722522,.1980599,.0024491011,.00121796,.03060987,Caucasian,1,0,0,0,0,.88820463,1.8823175,.93714744,-.38265181,.61713219,-.70236623,-.13678525,-.25250849,1.0118974,-.42301637,-.64527518,11.642005,buy,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
18,NL,2,S,15,23.274565,L,low price,.75,0,0,0,0,1,1,464,10NL2,10FR1,22,3,1,1,2.25,3.8333333,4.75,3.1666667,.87676477,.01779528,.0097394027,.00081493898,.03926656,.00012744599,.0079599135,.0080558751,Caucasian,1,0,0,0,0,-1.3301406,-.55837125,.79557967,-1.2295579,.74352539,-.75335789,.52307141,-.32955614,-.3080906,.56982905,-.71628743,5.6343241,buy,20,1,1,0,4,4.5,4.5833335,3.9166667,.88837302,.1002026,.0028140559,.00077608699,.01800427,.015928119,.003622191,.084274434,Caucasian,1,0,0,0,0,.61091149,.41790438,.51244497,-.27678829,.77668411,-.48962209,-.16711164,-.33112538,-.48483583,-.068960272,-.47630998,matched (3)
24,NL,8,S,1,14.510161,L,high price,.75,0,0,0,0,10,10,3,10NL8,10FR10,18,5,1,0,4.1666665,4.3333335,4.5833335,4.75,.003951164,.98347187,.00025717501,.000052828,.06652125,.01138753,.0069420128,.9720844,Caucasian,1,0,0,0,0,.79577339,.17383574,.51244497,.7818445,-1.7496504,2.3371871,-.42193148,-.36033794,-.081532836,.41992918,2.3189981,6.9594846,not buy,19,2,0,1,2.25,3.8333333,5.4166665,3.5,.99006212,.1175965,.00070652599,.001001629,.070647039,.0010511579,.003071846,.1145246,Caucasian,1,0,0,0,0,-1.3301406,-.55837125,1.9281192,-.80610484,1.0671571,-.43395475,-.37714896,-.3220157,-.047236741,-.15000616,-.38106602,matched (3)
22,NL,6,S,3,21.418169,H,not sell,.75,0,0,0,0,10,10,78,10NL6,10FR10,19,4,1,0,3.1666667,4.6666665,3.8333333,4.0833335,.1092821,.79075128,.00064896501,.00323382,.00066659198,.00066681899,.01019793,.78055328,Caucasian,1,0,0,0,0,-.31339896,.661973,-.76166266,-.065061614,-1.4487746,1.7204052,-.38288552,-.23185708,-.62895727,.89940774,1.7159541,5.5108466,no offer,19,2,0,1,2.25,3.8333333,5.4166665,3.5,.99006212,.1175965,.00070652599,.001001629,.070647039,.0010511579,.003071846,.1145246,Caucasian,1,0,0,0,0,-1.3301406,-.55837125,1.9281192,-.80610484,1.0671571,-.43395475,-.37714896,-.3220157,-.047236741,-.15000616,-.38106602,matched (3)
